1,2,6,.,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4
2,3,0,.,0
3,3,3,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,3,1,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
